,property_type,location_area,location,total_price,price_sqft,bhk,bath,covered_parking,open_parking,pooja_room,servant_room,study_room,extra_rooms,furnished_status,lat,long_,property_link,builtup_area
0, Flat ,ajmer road, Ajmer Road,4900000.0,3926.0,3,2.0,1.0,1.0,0,0,0,0,semi-furnished,26.8857766571605,75.7052555680275,https://www.squareyards.com/resale-3-bhk-1248-sq-ft-apartment-in-ajmer-road/9724259,1248.0
1, Flat ,pratap nagar, Tonk Road,5800000.0,4873.0,3,2.0,,1.0,0,0,0,0,Unfurnished,,,https://www.squareyards.com/resale-3-bhk-1190-sq-ft-apartment-in-mahima-sansaar/9383284,1190.0
2, Flat ,mansarovar, Mansarovar Extension,1800000.0,3781.0,1,1.0,,,0,0,0,0,Unfurnished,26.831093366012947,75.74966087937355,https://www.squareyards.com/resale-1-bhk-476-sq-ft-apartment-in-mansarovar-extension/9827553,413.0
3, Flat ,other, Vatika,14500000.0,6891.0,4,3.0,,,1,0,0,1,semi-furnished,,,https://www.squareyards.com/resale-4-bhk-pooja-room-study-room-2104-sq-ft-apartment-in-shree-govind-crystal-city-phase-ii/9708621,2104.0
4, Flat ,jagatpura, Jagatpura,6800000.0,4533.0,3,3.0,1.0,1.0,1,0,0,0,semi-furnished,26.8077315322318,75.870642583903,https://www.squareyards.com/resale-3-bhk-pooja-room-1500-sq-ft-apartment-in-jagatpura/9700128,1500.0
5, Flat ,jagatpura, Jagatpura,6200000.0,4275.0,3,3.0,1.0,1.0,0,0,0,0,Semi-Furnished,,,https://www.squareyards.com/resale-3-bhk-1450-sq-ft-apartment-in-shri-ram-the-city-of-golden-domes/9624735,1450.0
6, Flat ,dholai, Mohanpura,4500000.0,3846.0,2.5,2.0,1.0,,0,0,0,1,Semi-Furnished,,,https://www.squareyards.com/resale-2-5-bhk-extra-room-1170-sq-ft-apartment-in-unique-sapphire/9274746,1170.0
7,Studio Flat,ramnagariya, Ramnagariya,2900000.0,6921.0,Studio,1.0,1.0,1.0,0,0,0,0,semi-furnished,,,https://www.squareyards.com/resale-studio-419-sq-ft-apartment-in-okay-plus-solitaire-suites/9833645,419.0
8, Flat ,vaishali nagar, Sanjay Nagar,5500000.0,4230.0,3,3.0,1.0,1.0,0,0,0,0,semi-furnished,26.8973631126541,75.7850449159741,https://www.squareyards.com/resale-3-bhk-1300-sq-ft-apartment-in-sanjay-nagar/9737347,1300.0
9, Flat ,gandhi path, Gandhi Path,4500000.0,4901.0,3,2.0,,,1,0,0,0,semi-furnished,,,https://www.squareyards.com/resale-3-bhk-pooja-room-918-sq-ft-apartment-in-manglam-aadhar/9801374,918.0
