,property_type,location_area,location,total_price,bhk,bath,covered_parking,open_parking,furnished_status,property_link,builtup_area
0,flat,ajmer road, Ajmer Road,4900000.0,3.0,2.0,1.0,1.0,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-1248-sq-ft-apartment-in-ajmer-road/9724259,1248.0
1,flat,pratap nagar, Tonk Road,5800000.0,3.0,2.0,,1.0,Unfurnished,https://www.squareyards.com/resale-3-bhk-1190-sq-ft-apartment-in-mahima-sansaar/9383284,1190.0
2,flat,mansarovar, Mansarovar Extension,1800000.0,1.0,1.0,,,Unfurnished,https://www.squareyards.com/resale-1-bhk-476-sq-ft-apartment-in-mansarovar-extension/9827553,413.0
3,flat,other, Vatika,14500000.0,4.0,3.0,,,Semi-Furnished,https://www.squareyards.com/resale-4-bhk-pooja-room-study-room-2104-sq-ft-apartment-in-shree-govind-crystal-city-phase-ii/9708621,2104.0
4,flat,jagatpura, Jagatpura,6800000.0,3.0,3.0,1.0,1.0,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-pooja-room-1500-sq-ft-apartment-in-jagatpura/9700128,1500.0
5,flat,jagatpura, Jagatpura,6200000.0,3.0,3.0,1.0,1.0,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-1450-sq-ft-apartment-in-shri-ram-the-city-of-golden-domes/9624735,1450.0
6,flat,dholai, Mohanpura,4500000.0,2.5,2.0,1.0,,Semi-Furnished,https://www.squareyards.com/resale-2-5-bhk-extra-room-1170-sq-ft-apartment-in-unique-sapphire/9274746,1170.0
7,studio flat,ramnagariya, Ramnagariya,2900000.0,0.0,1.0,1.0,1.0,Semi-Furnished,https://www.squareyards.com/resale-studio-419-sq-ft-apartment-in-okay-plus-solitaire-suites/9833645,419.0
8,flat,vaishali nagar, Sanjay Nagar,5500000.0,3.0,3.0,1.0,1.0,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-1300-sq-ft-apartment-in-sanjay-nagar/9737347,1300.0
9,flat,gandhi path, Gandhi Path,4500000.0,3.0,2.0,,,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-pooja-room-918-sq-ft-apartment-in-manglam-aadhar/9801374,918.0
10,flat,patrakar colony, Patrakar Colony,4200000.0,3.0,3.0,1.0,1.0,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-1100-sq-ft-apartment-in-balaji-residency-2/9165645,1100.0
11,flat,gandhi path, Gandhi Path,6406999.999999999,2.5,2.5,,,Semi-Furnished,https://www.squareyards.com/resale-2-5-bhk-pooja-room-1490-sq-ft-apartment-in-seven-heaven/8301598,1490.0
12,flat,ajmer road, Ajmer Road,3800000.0,3.0,2.0,,,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-pooja-room-1250-sq-ft-apartment-in-chordias-atulya/9788268,1086.0
13,flat,girdharipura, Girdharipura,8000000.0,3.0,2.0,1.0,,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-1513-sq-ft-apartment-in-gurukripa-heights/9639333,1315.0
14,flat,jagatpura, Jagatpura,4500000.0,2.0,2.0,1.0,,Semi-Furnished,https://www.squareyards.com/resale-2-bhk-1250-sq-ft-apartment-in-jagatpura/9618495,1438.0
15,flat,vaishali nagar, Vaishali Nagar,9800000.0,3.0,3.0,,,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-pooja-room-1985-sq-ft-apartment-in-platinum-amaltas/9551728,1726.0
16,flat,ajmer road, Mahapura,3700000.0,2.0,2.0,1.0,,Unfurnished,https://www.squareyards.com/resale-2-bhk-881-sq-ft-apartment-in-vardhman-empire-estate/9728263,766.0
17,flat,central jaipur, Gopalpura,6500000.0,2.0,2.0,1.0,,Semi-Furnished,https://www.squareyards.com/resale-2-bhk-1081-sq-ft-apartment-in-viraj-kamal-apartment/9463244,1081.0
18,flat,ajmer road, Ajmer Road,4000000.0,3.0,2.0,1.0,,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-pooja-room-1430-sq-ft-apartment-in-dhanuka-sunshine-symphony/9731041,1243.0
19,flat,gandhi path, Gandhi Path,2300000.0,2.0,2.0,2.0,2.0,Semi-Furnished,https://www.squareyards.com/resale-2-bhk-596-sq-ft-apartment-in-ravi-surya-residency/9440323,596.0
20,flat,ajmer road, Ajmer Road,1350000.0,2.0,2.0,3.0,3.0,Semi-Furnished,https://www.squareyards.com/resale-2-bhk-916-sq-ft-apartment-in-omaxe-shubhangan/9508301,916.0
21,flat,gokulpura, Meenawala,4300000.0,3.0,2.0,1.0,1.0,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-1223-sq-ft-apartment-in-hanumant-raghunandan-heights/9475517,1063.0
22,flat,vaishali nagar, Vaishali Nagar,16100000.000000002,4.0,3.0,1.0,,Semi-Furnished,https://www.squareyards.com/resale-4-bhk-2150-sq-ft-apartment-in-vaishali-nagar/9571739,2150.0
23,flat,sanganer, Dadu Dayal Nagar,5959000.0,3.0,3.0,1.0,,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-extra-room-1370-sq-ft-apartment-in-jagdamba-apartments-mansarovar/9772611,1370.0
24,flat,sirsi road, Sirsi Road,6000000.0,3.0,3.0,1.0,1.0,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-996-sq-ft-apartment-in-sirsi-road/9618564,996.0
25,flat,vaishali nagar, Vaishali Nagar,16100000.000000002,4.0,3.0,1.0,1.0,Semi-Furnished,https://www.squareyards.com/resale-4-bhk-2150-sq-ft-apartment-in-vaishali-nagar/9571752,2150.0
26,flat,mansarovar, Mansarovar,10700000.0,4.0,3.0,1.0,,Semi-Furnished,https://www.squareyards.com/resale-4-bhk-1916-sq-ft-apartment-in-mansarovar/9571508,1916.0
27,flat,mansarovar, Manyawas,8900000.0,3.0,3.0,,,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-servant-room-1680-sq-ft-apartment-in-balaji-urban-prime/9242203,1460.0
28,flat,jagatpura, Jagatpura,8000000.0,3.0,3.0,,,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-pooja-room-1044-sq-ft-apartment-in-sankalp-24-carat/9253400,1201.0
29,flat,ajmer road, Ajmer Road,2550000.0,1.0,2.0,1.0,,Semi-Furnished,https://www.squareyards.com/resale-1-bhk-extra-room-508-sq-ft-apartment-in-samanvay-the-amelias/9451237,508.0
30,flat,gandhi path, Gandhi Path,3000000.0,2.0,2.0,1.0,3.0,Furnished,https://www.squareyards.com/resale-2-bhk-800-sq-ft-apartment-in-gandhi-path/9428136,800.0
31,flat,anand nagar, Officers Campus Colony,18000000.0,3.0,3.0,1.0,,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-1900-sq-ft-apartment-in-prime/9363984,1652.0
32,flat,central jaipur, Gopalpura,15000000.0,3.0,3.0,1.0,1.0,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-pooja-room-study-room-1750-sq-ft-apartment-in-viraj-kamal-apartment/9280054,1750.0
33,flat,mansarovar, Vardhman Nagar,10200000.0,3.0,3.0,,,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-extra-room-1580-sq-ft-apartment-in-vardhaman-alora/9203035,1580.0
34,flat,central jaipur, Adarsh Nagar,16000000.0,3.0,4.0,1.0,,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-pooja-room-2400-sq-ft-apartment-in-adarsh-nagar/9225593,2400.0
35,flat,mansarovar, Mansarovar,3000000.0,2.0,2.0,1.0,,Semi-Furnished,https://www.squareyards.com/resale-2-bhk-1250-sq-ft-apartment-in-mansarovar/9826230,1250.0
36,flat,jagatpura, Jagatpura,4990000.0,3.0,3.0,1.0,2.0,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-1354-sq-ft-apartment-in-divine-homes-jagatpura/9626682,1354.0
37,flat,gandhi path, Gandhi Path,1900000.0,1.0,1.0,,,Semi-Furnished,https://www.squareyards.com/resale-1-bhk-pooja-room-425-sq-ft-apartment-in-manglam-aadhar/9706482,489.0
38,flat,ajmer road, Ajmer Road,4681000.0,3.0,2.0,1.0,1.0,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-1228-sq-ft-apartment-in-ajmer-road/9237676,1228.0
39,flat,central jaipur, Raja Park,4500000.0,2.0,2.0,,,Semi-Furnished,https://www.squareyards.com/resale-2-bhk-800-sq-ft-apartment-in-raja-park/9687011,695.0
40,flat,shri kishanpura, Shri Kishanpura,5500000.0,3.0,2.0,1.0,,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-1400-sq-ft-apartment-in-shri-kishanpura/9804979,1400.0
41,flat,other, Kalwara,27000000.0,4.0,4.0,3.0,,Furnished,https://www.squareyards.com/resale-4-bhk-servant-room-2455-sq-ft-apartment-in-galaxy-enclave-kalwara/9199149,2455.0
42,flat,mansarovar, Mansarovar,3100000.0,2.0,2.0,2.0,1.0,Semi-Furnished,https://www.squareyards.com/resale-2-bhk-pooja-room-800-sq-ft-apartment-in-mansarovar/9792950,800.0
43,flat,jagatpura, Jagatpura,12500000.0,4.0,4.0,1.0,1.0,Furnished,https://www.squareyards.com/resale-4-bhk-pooja-room-study-room-1720-sq-ft-apartment-in-jagatpura/9722200,1720.0
44,flat,jagatpura, Jagatpura,6000000.0,3.0,2.0,1.0,1.0,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-1482-sq-ft-apartment-in-jagatpura/9202958,1482.0
45,flat,other, Jais,2600000.0,2.0,2.0,2.0,2.0,Semi-Furnished,https://www.squareyards.com/resale-2-bhk-pooja-room-664-sq-ft-apartment-in-govindam-group/9262480,664.0
46,flat,jagatpura, Jagatpura,7618000.000000001,3.0,3.0,1.0,1.0,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-1465-sq-ft-apartment-in-vn-exclusive-444/9249676,1465.0
47,flat,jeerota, Jeerota,3500000.0,1.0,1.0,1.0,,Semi-Furnished,https://www.squareyards.com/resale-1-bhk-475-sq-ft-apartment-in-redwood-magnus/9215594,475.0
48,flat,dholai, Dholai,9263000.0,3.0,3.0,1.0,,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-1611-sq-ft-apartment-in-reliant-floresta/9187160,1400.0
49,flat,central jaipur, Malviya Nagar,6200000.0,3.0,3.0,1.0,1.0,Semi-Furnished,https://www.squareyards.com/resale-3-bhk-1500-sq-ft-apartment-in-nand-residency/9264307,1500.0
50,flat,central jaipur, Tilak Nagar,21000000.0,4.0,4.0,2.0,,Semi-Furnished,https://www.squareyards.com/resale-4-bhk-2695-sq-ft-apartment-in-tilak-nagar/9574285,2695.0
51,flat,muhana, Muhana,2200000.0,2.0,2.0,1.0,,Semi-Furnished,https://www.squareyards.com/resale-2-bhk-573-sq-ft-apartment-in-ssbc-prangan/9201065,498.0
