project_name,property_type,property,location_area,location,total_price,price_sqft,area(sq-ft),bhk,bath,area_type,parking,covered_parking,open_parking,extra_room,pooja_room,servant_room,study_room,extra_rooms,furnished_status,property_status,marble_floor,lat,long_,property_link,property_description,builtup_area
,house,"4 BHK House for Sale in Gokulpura, Jaipur",gokulpura, Gokulpura,17500000.0,6730.0,2600,4.0,4.0,Built-up Area,1 Covered + 1 Open,1.0,1.0,Pooja Room +1,1.0,0.0,0.0,1.0,furnished,Ready To Move,,26.9440619819194,75.70933185517788,https://www.squareyards.com/resale-4-bhk-pooja-room-servant-room-2600-sq-ft-independent-house-in-gokulpura/9801506,"Discover a spacious, furnished independent house in Gokulpura, Jaipur, offering ample living space with 4 bedrooms and 4 bathrooms spread across 2600 square feet.Priced at 1.75 crore, this 0-1 year old property provides a comfortable environment with a road view facing and a dedicated parking spot.The house is situated within a complex that boasts a wide range of amenities, including",2600.0
,house,"5 BHK House for Sale in Nirman Nagar, Jaipur",nirman nagar, Nirman Nagar,85000000.0,34979.0,2430,5.0,5.0,Plot Area,3 Covered + 1 Open,3.0,1.0,Pooja Room +2,1.0,0.0,0.0,2.0,furnished,Ready To Move,,26.888357308966,75.74373688548803,https://www.squareyards.com/resale-5-bhk-pooja-room-servant-room-study-room-270-sq-yd-independent-house-in-nirman-nagar/9794425,"This independent house in Nirman Nagar, Jaipur, offers a spacious and luxurious lifestyle with its 5 bedrooms and 5 bathrooms spread across 270 Square Yards.Priced at 8.5 crore, this furnished property is less than a year old and boasts a community view.Residents will enjoy exclusive amenities such as a gymnasium, swimming pool, kids` play areas, central air conditioning, central Wi-Fi,",1701.0
,house,"4 BHK House for Sale in Civil Lines, Jaipur",central jaipur, Civil L,42500000.0,14529.0,2925,4.0,2.0,Built-up Area,1 Covered + 1 Open,1.0,1.0,,0.0,0.0,0.0,0.0,unfurnished,Ready To Move,,26.9059310864498,75.7844384014606,https://www.squareyards.com/resale-4-bhk-325-sq-yd-independent-house-in-civil-lines/9801397,"This independent house in Civil Lines, Jaipur offers a spacious living experience with 4 bedrooms and 2 bathrooms spread across 325 square yards, perfect for a family seeking comfort and convenience.Priced at 4.25 crore, this freehold property is situated in a gated society, providing an added layer of security and exclusivity with 24 x 7 security and CCTV surveillance.The house",2925.0
,house,"5 BHK House for Sale in Malviya Nagar, Jaipur",central jaipur, Malviya Nagar,24900000.000000004,13833.0,1800,5.0,5.0,Built-up Area,,0.0,0.0,,0.0,0.0,0.0,0.0,semi-furnished,,,26.857119,75.81282,https://www.squareyards.com/resale-5-bhk-200-sq-yd-independent-house-in-malviya-nagar/9720672,"This independent house in Malviya Nagar offers a considerable 200 square yards of living space, perfect for families needing room to grow or for those who simply enjoy spacious surroundings.Available for sale at 2.49 crore, this semi-furnished property features five bedrooms, providing ample accommodation for everyone.While specific details on bathrooms and parking were not provided, the generous plot size suggests",1800.0
,house,"3 BHK House for Sale in Pratap Nagar, Jaipur",pratap nagar, Pratap Nagar,7800000.0,12380.0,630,3.0,3.0,Built-up Area,1 Covered + 2 Open,1.0,2.0,,0.0,0.0,0.0,0.0,furnished,,,26.9082771794585,75.7264312729239,https://www.squareyards.com/resale-3-bhk-630-sq-ft-independent-house-in-pratap-nagar/9219859,"Find your ideal family home on Maharana Pratap Road in Jaipur, a 3-bedroom, 3-bathroom independent house that is now available for sale at 78 lac.This furnished property offers 630 square feet of comfortable living space, perfect for creating lasting memories. You will appreciate the excellent amenities provided, including dedicated kids` play areas, an attached market for your daily needs, a",630.0
,house,"4 BHK House for Sale in Jhotwara, Jaipur",jhotwara, Jhotwara,13000000.0,13251.0,981,4.0,3.0,Saleable Area,1 Covered + 1 Open,1.0,1.0,Extra Room,0.0,0.0,0.0,1.0,semi-furnished,Ready To Move,,26.9575177,75.7382719,https://www.squareyards.com/resale-4-bhk-extra-room-981-sq-ft-independent-house-in-jhotwara/9787272,This property is located in bahubali nagar society near shanti nagar D jhotwara jaipur,853.0
,house,"6+ BHK House for Sale in Muralipura, Jaipur",muralipura, Muralipura,17900000.0,11981.0,1494,6.0,3.0,Built-up Area,1 Covered Parking,1.0,0.0,,0.0,0.0,0.0,0.0,furnished,Ready To Move,,26.979072,75.766343,https://www.squareyards.com/resale-6-bhk-1494-sq-ft-independent-house-in-muralipura/9673774,"This furnished, six-bedroom independent house in Jaipur Muralipura area, spanning 1494 square feet, offers a luxurious lifestyle for families and bachelors alike, priced at 1.79 crore.It features three bathrooms, a road view, and one parking spot across its two floors, embodying a safe and secure living environment. Residents can enjoy a well-maintained property with access to a badminton court, jogging",1494.0
,house,"3 BHK House for Sale in Hathroi, Jaipur",central jaipur, Hathroi,6200000.0,3647.0,1700,3.0,3.0,Built-up Area,1 Covered + 1 Open,1.0,1.0,Pooja Room +3,1.0,0.0,0.0,3.0,semi-furnished,Ready To Move,,26.911377,75.793787,https://www.squareyards.com/resale-3-bhk-pooja-room-servant-room-study-room-extra-room-1700-sq-ft-independent-house-in-hathroi/9831081,"An independent house in Hathoj, Jaipur, presents a compelling opportunity for homeowners seeking space and a prime location, priced at 62 Lac.This semi-furnished property offers 1700 Square Feet of living area, featuring three bedrooms and three bathrooms, ensuring ample accommodation for a family.The house faces the road, providing easy access and a clear view of the surroundings, and includes one",1700.0
,house,"4 BHK House for Sale in Adarsh Nagar, Jaipur",central jaipur, Adarsh Nagar,15000000.0,30000.0,500,4.0,3.0,Built-up Area,2 Covered Parking,2.0,0.0,,0.0,0.0,0.0,0.0,unfurnished,Ready To Move,,26.9102799,75.8323328,https://www.squareyards.com/resale-4-bhk-500-sq-ft-independent-house-in-adarsh-nagar/9349558,"Looking for a spacious family home in a prime Jaipur location, this unfurnished independent house in Adarsh Nagar presents a fantastic chance to create lasting memories, priced at 1.5 crore. Spanning 500 square feet, this property boasts six or more bedrooms and three bathrooms, providing ample space for everyone.The house faces the road, offering convenient access, and includes parking for two",500.0
,house,"6+ BHK House for Sale in Sanganer, Jaipur",sanganer, Sanganer,55500000.0,18500.0,3000,6.0,6.0,Built-up Area,2 Covered + 6+ Open,2.0,6.0,Servant Room,0.0,1.0,0.0,0.0,furnished,Ready To Move,,26.821603,75.775355,https://www.squareyards.com/resale-6-bhk-servant-room-3000-sq-ft-independent-house-in-sanganer/9651219,"If you are looking for a substantial and well-located property in Jaipur, consider this impressive six-bedroom independent house in Sanganer. Spread across a generous 3000 square feet, this furnished home offers ample space for a large family or for those who enjoy having plenty of room.Priced at 5.55 crore, it represents a significant investment opportunity with its prime location and breakthrough",3000.0
