,property_type,location_area,location,total_price,bhk,bath,covered_parking,open_parking,furnished_status,property_link,builtup_area
0,house,gokulpura, Gokulpura,17500000.0,4.0,4.0,1.0,1.0,furnished,https://www.squareyards.com/resale-4-bhk-pooja-room-servant-room-2600-sq-ft-independent-house-in-gokulpura/9801506,2600.0
1,house,nirman nagar, Nirman Nagar,85000000.0,5.0,5.0,3.0,1.0,furnished,https://www.squareyards.com/resale-5-bhk-pooja-room-servant-room-study-room-270-sq-yd-independent-house-in-nirman-nagar/9794425,1701.0
2,house,central jaipur, Civil L,42500000.0,4.0,2.0,1.0,1.0,unfurnished,https://www.squareyards.com/resale-4-bhk-325-sq-yd-independent-house-in-civil-lines/9801397,2925.0
3,house,central jaipur, Malviya Nagar,24900000.000000004,5.0,5.0,,,semi-furnished,https://www.squareyards.com/resale-5-bhk-200-sq-yd-independent-house-in-malviya-nagar/9720672,1800.0
4,house,pratap nagar, Pratap Nagar,7800000.0,3.0,3.0,1.0,2.0,furnished,https://www.squareyards.com/resale-3-bhk-630-sq-ft-independent-house-in-pratap-nagar/9219859,630.0
5,house,jhotwara, Jhotwara,13000000.0,4.0,3.0,1.0,1.0,semi-furnished,https://www.squareyards.com/resale-4-bhk-extra-room-981-sq-ft-independent-house-in-jhotwara/9787272,853.0
6,house,muralipura, Muralipura,17900000.0,6.0,3.0,1.0,,furnished,https://www.squareyards.com/resale-6-bhk-1494-sq-ft-independent-house-in-muralipura/9673774,1494.0
7,house,central jaipur, Hathroi,6200000.0,3.0,3.0,1.0,1.0,semi-furnished,https://www.squareyards.com/resale-3-bhk-pooja-room-servant-room-study-room-extra-room-1700-sq-ft-independent-house-in-hathroi/9831081,1700.0
8,house,central jaipur, Adarsh Nagar,15000000.0,4.0,3.0,2.0,,unfurnished,https://www.squareyards.com/resale-4-bhk-500-sq-ft-independent-house-in-adarsh-nagar/9349558,500.0
9,house,sanganer, Sanganer,55500000.0,6.0,6.0,2.0,6.0,furnished,https://www.squareyards.com/resale-6-bhk-servant-room-3000-sq-ft-independent-house-in-sanganer/9651219,3000.0
10,house,central jaipur, Jawahar Nagar,30000000.0,3.0,2.0,1.0,1.0,unfurnished,https://www.squareyards.com/resale-3-bhk-study-room-1800-sq-ft-independent-house-in-jns1-h4s-bchagy/9664345,1260.0
11,house,mansarovar, Vardhman Nagar,33000000.0,6.0,6.0,3.0,1.0,semi-furnished,https://www.squareyards.com/resale-6-bhk-260-sq-yd-independent-house-in-individual-house/9635116,2340.0
12,house,jagatpura, Jagatpura,17500000.0,4.0,4.0,1.0,1.0,furnished,https://www.squareyards.com/resale-4-bhk-study-room-2700-sq-ft-independent-house-in-jagatpura/9465714,2700.0
13,house,hanuman nagar, Hanuman Nagar,2400000.0,2.0,1.0,1.0,1.0,unfurnished,https://www.squareyards.com/resale-2-bhk-450-sq-ft-independent-house-in-sky-palacio/9786826,450.0
14,house,vaishali nagar, Vaishali Nagar,32600000.0,4.0,3.0,2.0,1.0,semi-furnished,https://www.squareyards.com/resale-4-bhk-pooja-room-3300-sq-ft-independent-house-in-vaishali-nagar/9340321,3300.0
15,house,agra road, Agra Road,2640000.0,2.0,2.0,1.0,1.0,semi-furnished,https://www.squareyards.com/resale-2-bhk-86-sq-yd-independent-house-in-agra-road/9600359,774.0
16,house,mansarovar, Mansarovar,17000000.0,4.0,3.0,1.0,,unfurnished,https://www.squareyards.com/resale-4-bhk-1250-sq-ft-independent-house-in-mansarovar/9273856,875.0
17,house,vaishali nagar, Vaishali Nagar,45100000.0,6.0,6.0,2.0,1.0,furnished,https://www.squareyards.com/resale-6-bhk-5450-sq-ft-independent-house-in-dream-kothi-loins-lane/9454874,5450.0
18,house,sirsi road, Sirsi Road,2900000.0,3.0,2.0,1.0,1.0,semi-furnished,https://www.squareyards.com/resale-3-bhk-extra-room-50-sq-yd-independent-house-in-sirsi-road/9241137,450.0
19,house,jagatpura, Jagatpura,5200000.0,2.0,1.0,,1.0,semi-furnished,https://www.squareyards.com/resale-2-bhk-54-sq-yd-independent-house-in-jagatpura/9169718,422.0
20,house,ajmer road, Ajmer Road,15100000.0,2.0,2.0,3.0,,semi-furnished,https://www.squareyards.com/resale-2-bhk-pooja-room-350-sq-yd-independent-house-in-uttam-shyamashish-park/9021316,3150.0
21,house,vaishali nagar, Vaishali Nagar,32500000.0,5.0,5.0,1.0,1.0,unfurnished,https://www.squareyards.com/resale-5-bhk-study-room-188-sq-yd-independent-house-in-vaishali-nagar/9245262,1692.0
22,house,ajmer road, Ajmer Road,9000000.0,4.0,4.0,2.0,1.0,unfurnished,https://www.squareyards.com/resale-4-bhk-88-sq-yd-independent-house-in-122-sector-mansarovar-jai/8993623,792.0
23,house,vaishali nagar, Vaishali Nagar,24100000.0,4.0,5.0,1.0,1.0,furnished,https://www.squareyards.com/resale-4-bhk-pooja-room-138-sq-yd-independent-house-in-vaishali-nagar/9072364,869.4
24,house,jagatpura, Jagatpura,11000000.0,3.0,2.0,2.0,1.0,semi-furnished,https://www.squareyards.com/resale-3-bhk-166-sq-yd-independent-house-in-jagatpura/8800343,1494.0
25,house,kalwar road, Hathod,7200000.0,3.0,3.0,1.0,1.0,semi-furnished,https://www.squareyards.com/resale-3-bhk-pooja-room-1500-sq-ft-independent-house-in-hathod/9839073,1500.0
26,house,sirsi road, Sirsi Road,34500000.0,5.0,6.0,2.0,2.0,furnished,https://www.squareyards.com/resale-5-bhk-pooja-room-study-room-extra-room-5000-sq-ft-independent-house-in-jaipur-property-ndream-ho/9690496,5000.0
27,house,ajmer road, Jaipur Ajmer Express Highway,20000000.0,3.0,2.0,1.0,1.0,semi-furnished,https://www.squareyards.com/resale-3-bhk-extra-room-166-sq-yd-independent-house-in-jaipur-ajmer-express-highway/9864304,1494.0
28,house,other, Nari Ka Bas,8200000.0,3.0,3.0,1.0,1.0,semi-furnished,https://www.squareyards.com/resale-3-bhk-pooja-room-study-room-extra-room-2100-sq-ft-independent-house-in-ansal-sushant-city/9877779,2100.0
29,house,muralipura, Muralipura,17400000.0,6.0,3.0,1.0,,furnished,https://www.squareyards.com/resale-6-bhk-1444-sq-ft-independent-house-in-muralipura/9673834,1444.0
