location_area,property_location,total_price,area_sqft,price(sqft),face,outside_view,lat,long_,property_link
bhapura, bhapura,3250000.0,1170,2777.0,east facing,garden view,26.7378969,75.66153840000001,https://www.squareyards.com/resale-130-sq-yd-plot-in-vrb-global-city/9645940
jagatpura, jagatpura,10500000.0,1080,9722.0,,garden view,26.835285,75.824203,https://www.squareyards.com/resale-120-sq-yd-plot-in-jagatpura/9524233
ajmer road, bagru khurd,4790000.0,981,4882.0,,road view,,,https://www.squareyards.com/resale-109-sq-yd-plot-in-omaxe-city/9775364
pratap nagar, pratap nagar,11100000.000000002,1197,9273.0,,,26.81305014036629,75.82439124584198,https://www.squareyards.com/resale-133-sq-yd-plot-in-pratap-nagar/9627950
ajmer road, ajmer road,2375000.0,1098,2163.0,east facing,water view,26.91243347431389,75.78727081418037,https://www.squareyards.com/resale-122-sq-yd-plot-in-dev-nagar/9527166
ajmer road, jaipur ajmer express highway,6770999.999999999,999,6777.0,west facing,garden view,27.0024309993251,75.7409245893359,https://www.squareyards.com/resale-111-sq-yd-plot-in-aman-encalve/9691081
other, daulatpura,4205000.0,2700,1557.0,east facing,road view,27.0824783,75.8306435,https://www.squareyards.com/resale-300-sq-yd-plot-in-daulatpura/9768788
kishorpura, kishorpura,5165000.0,1863,2772.0,east facing,road view,26.74859542164988,75.70789083838463,https://www.squareyards.com/resale-207-sq-yd-plot-in-kishorpura/9854617
neota, neota,3350000.0,999,3353.0,east facing,road view,26.803095575513595,75.67899037152529,https://www.squareyards.com/resale-111-sq-yd-plot-in-vrb-amber-extension-1st-n/9657583
neota, neota,2600000.0,900,2888.0,,,26.803238,75.678656,https://www.squareyards.com/resale-100-sq-yd-plot-in-neota/9806345
ajmer road, ajmer road,3144000.0,1233,2549.0,,garden view,26.8938045,75.7472084,https://www.squareyards.com/resale-137-sq-yd-plot-in-ajmer-road/9744405
other, ratalya,4185000.0,900,4650.0,,,26.755700728209103,75.75932574640488,https://www.squareyards.com/resale-900-sq-ft-plot-in-ratalya/9720836
kalwara, kalwara,4000000.0,999,4004.0,east facing,garden view,,,https://www.squareyards.com/resale-111-sq-yd-plot-in-gokul-nikunj/9596235
other, balawala,2000000.0,999,2002.0,west facing,,,,https://www.squareyards.com/resale-111-sq-yd-plot-in-purple-aamod/9273986
central jaipur, tonk phatak,21000000.0,2097,10014.0,north facing,,26.891088609027324,75.79074293375015,https://www.squareyards.com/resale-233-sq-yd-plot-in-tonk-phatak/9732192
mansarovar, mansarovar extension,12000000.0,1503,7984.0,east facing,road view,26.83922719706188,75.75114078819752,https://www.squareyards.com/resale-167-sq-yd-plot-in-mansarovar-extension/9274801
pratap nagar, pratap nagar,8100000.0,891,9090.0,east facing,road view,26.808189970515,75.8252958208323,https://www.squareyards.com/resale-99-sq-yd-plot-in-an-enclave-005/8203168
ajmer road, ajmer road,4854000.0,1287,3771.0,,,26.8973631126541,75.7850449159741,https://www.squareyards.com/resale-143-sq-yd-plot-in-ajmer-road/8949029
sirsi road, sirsi road,8000000.0,1800,4444.0,,garden view,,,https://www.squareyards.com/resale-200-sq-yd-plot-in-manglams-balaji-city/9864498
other, balawala,2400000.0,900,2666.0,east facing,garden view,26.7504621542296,75.736490227282,https://www.squareyards.com/resale-100-sq-yd-plot-in-balawala/9136232
ajmer road, bhambhoriya,4301000.0,1035,4155.0,,road view,26.821754,75.634613,https://www.squareyards.com/resale-115-sq-yd-plot-in-bhambhoriya/9820069
neota, neota,3000000.0,900,3333.0,east facing,road view,,,https://www.squareyards.com/resale-100-sq-yd-plot-in-vrb-amber/9649619
jagatpura, jagatpura,4500000.0,2718,1655.0,south facing,garden view,26.7615101,75.8921754,https://www.squareyards.com/resale-302-sq-yd-plot-in-jagatpura/9772348
shivdaspura, shivdaspura,6675000.0,1719,3883.0,east facing,road view,26.7241292607381,75.9230975434184,https://www.squareyards.com/resale-191-sq-yd-plot-in-shivdaspura/9626561
tonk road, tonk road,9627000.0,2169,4438.0,,garden view,,,https://www.squareyards.com/resale-241-sq-yd-plot-in-laxminaryan-vatika-ii/9858117
diggi road, diggi road,2659000.0,1017,2614.0,east facing,garden view,26.8018405,75.77791,https://www.squareyards.com/resale-113-sq-yd-plot-in-the-knowledge-park/9706576
shivdaspura, shivdaspura,2890000.0,900,3211.0,,,26.7474334512164,75.9259661659598,https://www.squareyards.com/resale-100-sq-yd-plot-in-shivdaspura/9578856
sirsi road, sirsi road,3290000.0,900,3655.0,,,,,https://www.squareyards.com/resale-100-sq-yd-plot-in-shyamashish-sinwar-city/9797681
tonk road, tonk road,10600000.0,1800,5888.0,east facing,water view,,,https://www.squareyards.com/resale-200-sq-yd-plot-in-sanjeevni-aagan/9362168
shivdaspura, shivdaspura,14000000.0,3600,3888.0,west facing,garden view,26.711423,75.896013,https://www.squareyards.com/resale-400-sq-yd-plot-in-shivdaspura/9308281
ajmer road, jaipur ajmer express highway,4101000.0,999,4105.0,south facing,road view,26.9124334743139,75.7872708141804,https://www.squareyards.com/resale-111-sq-yd-plot-in-jaipur-ajmer-express-highway/9425475
other, basri jogiyan,2750000.0,900,3055.0,east facing,garden view,,,https://www.squareyards.com/resale-100-sq-yd-plot-in-riyasat-eco-park/9349193
other, manohariya wala,5800000.0,900,6444.0,north east facing,road view,,,https://www.squareyards.com/resale-100-sq-yd-plot-in-riyasat-the-ring-niketan-commercial/9674830
diggi road, diggi road,725000.0,450,1611.0,east facing,road view,26.6928523820216,75.6793105602264,https://www.squareyards.com/resale-50-sq-yd-plot-in-diggi-road/9560012
sanganer, dadu dayal nagar,9000000.0,891,10101.0,,garden view,26.8257689167211,75.7611903816103,https://www.squareyards.com/resale-99-sq-yd-plot-in-dadu-dayal-nagar/9509425
kalwara, kalwara,1695000.0,900,1883.0,west facing,garden view,,,https://www.squareyards.com/resale-100-sq-yd-plot-in-mahindra-world-city-jaipur/9494512
other, ajairajpura,1695000.0,900,1883.0,,,26.7378968210841,75.6615382432938,https://www.squareyards.com/resale-100-sq-yd-plot-in-pearl-avenue-ajayrajpura/9494641
delhi jaipur expressway, delhi-jaipur expressway,1900000.0,900,2111.0,south east facing,road view,27.906212767036,76.3075811415911,https://www.squareyards.com/resale-100-sq-yd-plot-in-delhi-jaipur-expressway/9565713
neota, neota,3000000.0,999,3003.0,east facing,garden view,,,https://www.squareyards.com/resale-111-sq-yd-plot-in-vrb-amber/9725277
renwal manji, renwal manji,3254999.9999999995,1395,2333.0,east facing,road view,26.6877966,75.6789905,https://www.squareyards.com/resale-155-sq-yd-plot-in-balaji-sundarm/9619097
shivdaspura, shivdaspura,7056999.999999999,1719,4105.0,,,26.7474334512164,75.9259661659598,https://www.squareyards.com/resale-191-sq-yd-plot-in-ganesh-vihar-vistar/9443633
jagatpura, jagatpura,8200000.0,1053,7787.0,east facing,road view,26.80997552812736,75.8956766501069,https://www.squareyards.com/resale-117-sq-yd-plot-in-krishna-sarovar-jagatpura/9368621
ajmer road, ajmer road,3600000.0,900,4000.0,,road view,26.9287967,75.9651926,https://www.squareyards.com/resale-100-sq-yd-plot-in-the-riyasat-delight/9371910
sanganer, kalyanpura,9000000.0,810,11111.0,,,,,https://www.squareyards.com/resale-90-sq-yd-plot-in-captain-enclave/9311122
vatika/vatika road, vatika,3000000.0,999,3003.0,east facing,garden view,26.7516941510001,75.8108574897051,https://www.squareyards.com/resale-111-sq-yd-plot-in-riyasat-paradise/9454160
kalwar road, kalwar road,11200000.000000002,1500,7466.0,,,26.9552682922096,75.7395174354315,https://www.squareyards.com/resale-1500-sq-ft-plot-in-kalwar-road/9640570
bhapura, bhapura,4600000.0,1800,2555.0,east facing,road view,26.8012082,75.6770523,https://www.squareyards.com/resale-200-sq-yd-plot-in-vrb-global-city/9556899
kalwar road, kalwar road,1500000.0,990,1515.0,east facing,road view,26.8527259488876,75.7545907795429,https://www.squareyards.com/resale-110-sq-yd-plot-in-kalwar-road/9576704
jaisinghpura, jais,3000000.0,900,3333.0,east facing,road view,26.836979,75.699181,https://www.squareyards.com/resale-100-sq-yd-plot-in-jaisinghpura/9364558
diggid road, diggi malpura road,2380000.0,999,2382.0,,road view,26.350354,75.41125,https://www.squareyards.com/resale-111-sq-yd-plot-in-diggi-malpura-road/9489482
kalwar road, kalwar,1300000.0,1000,1300.0,,road view,26.959136,75.658468,https://www.squareyards.com/resale-1000-sq-ft-plot-in-kalwar/9531511
ajmer road, jaipur ajmer express highway,2593000.0,999,2595.0,east facing,garden view,26.874566,75.707516,https://www.squareyards.com/resale-111-sq-yd-plot-in-jaipur-ajmer-express-highway/9497710
tonk road, tonk road,3200000.0,1260,2539.0,,,,,https://www.squareyards.com/resale-140-sq-yd-plot-in-shreenath-regency/9694997
shivdaspura, shivdaspura,3150000.0,981,3211.0,,,26.7069732511823,75.8982539176941,https://www.squareyards.com/resale-109-sq-yd-plot-in-shivdaspura/9369651
shivdaspura, shivdaspura,3329999.9999999995,999,3333.0,east facing,garden view,,,https://www.squareyards.com/resale-111-sq-yd-plot-in-riyasat-town/9274112
other, ajairajpura,1700000.0,900,1888.0,,,26.8012081613724,75.6770521402359,https://www.squareyards.com/resale-100-sq-yd-plot-in-pearl-avenue/9265561
bhakrota, bhankrota,1695000.0,900,1883.0,,,,,https://www.squareyards.com/resale-100-sq-yd-plot-in-pearl-avenue-bhankrota/9248396
pratap nagar, pratap nagar,2100000.0,900,2333.0,,road view,26.8036533,75.8084579,https://www.squareyards.com/resale-100-sq-yd-plot-in-pratap-nagar/9818464
mahaveer nagar, mahaveer nagar,37000000.0,2300,16086.0,,road view,26.855163,75.788685,https://www.squareyards.com/resale-2300-sq-ft-plot-in-mahaveer-nagar/9837001
kishorpura, kishorpura,8400000.0,2700,3111.0,,,26.9392965,75.6629807,https://www.squareyards.com/resale-300-sq-yd-plot-in-happy-residdancy/9578485
ajmer road, ajmer road,5295000.0,900,5883.0,,,26.8461034604604,75.6681421771646,https://www.squareyards.com/resale-100-sq-yd-plot-in-ajmer-road/9578228
hardhyanpura, hardhyanpura,5250000.0,1170,4487.0,east facing,garden view,26.8357755,75.5913278,https://www.squareyards.com/resale-130-sq-yd-plot-in-hardhyanpura/9790276
neota, neota,3324000.0,999,3327.0,,,,,https://www.squareyards.com/resale-111-sq-yd-plot-in-vrb-amber/9682756
