,location_area,property_location,total_price,area_sqft,outside_view,property_link
0,bhapura, bhapura,3250000.0,1170.0,garden view,https://www.squareyards.com/resale-130-sq-yd-plot-in-vrb-global-city/9645940
1,jagatpura, jagatpura,10500000.0,1080.0,garden view,https://www.squareyards.com/resale-120-sq-yd-plot-in-jagatpura/9524233
2,ajmer road, bagru khurd,4790000.0,981.0,road view,https://www.squareyards.com/resale-109-sq-yd-plot-in-omaxe-city/9775364
3,pratap nagar, pratap nagar,11100000.000000002,1197.0,,https://www.squareyards.com/resale-133-sq-yd-plot-in-pratap-nagar/9627950
4,ajmer road, ajmer road,2375000.0,1098.0,water view,https://www.squareyards.com/resale-122-sq-yd-plot-in-dev-nagar/9527166
5,ajmer road, jaipur ajmer express highway,6770999.999999999,999.0,garden view,https://www.squareyards.com/resale-111-sq-yd-plot-in-aman-encalve/9691081
6,other, daulatpura,4205000.0,2700.0,road view,https://www.squareyards.com/resale-300-sq-yd-plot-in-daulatpura/9768788
7,kishorpura, kishorpura,5165000.0,1863.0,road view,https://www.squareyards.com/resale-207-sq-yd-plot-in-kishorpura/9854617
8,neota, neota,3350000.0,999.0,road view,https://www.squareyards.com/resale-111-sq-yd-plot-in-vrb-amber-extension-1st-n/9657583
9,neota, neota,2600000.0,900.0,,https://www.squareyards.com/resale-100-sq-yd-plot-in-neota/9806345
10,ajmer road, ajmer road,3144000.0,1233.0,garden view,https://www.squareyards.com/resale-137-sq-yd-plot-in-ajmer-road/9744405
11,other, ratalya,4185000.0,900.0,,https://www.squareyards.com/resale-900-sq-ft-plot-in-ratalya/9720836
12,kalwara, kalwara,4000000.0,999.0,garden view,https://www.squareyards.com/resale-111-sq-yd-plot-in-gokul-nikunj/9596235
13,other, balawala,2000000.0,999.0,,https://www.squareyards.com/resale-111-sq-yd-plot-in-purple-aamod/9273986
14,central jaipur, tonk phatak,21000000.0,2097.0,,https://www.squareyards.com/resale-233-sq-yd-plot-in-tonk-phatak/9732192
15,mansarovar, mansarovar extension,12000000.0,1503.0,road view,https://www.squareyards.com/resale-167-sq-yd-plot-in-mansarovar-extension/9274801
16,pratap nagar, pratap nagar,8100000.0,891.0,road view,https://www.squareyards.com/resale-99-sq-yd-plot-in-an-enclave-005/8203168
17,ajmer road, ajmer road,4854000.0,1287.0,,https://www.squareyards.com/resale-143-sq-yd-plot-in-ajmer-road/8949029
18,sirsi road, sirsi road,8000000.0,1800.0,garden view,https://www.squareyards.com/resale-200-sq-yd-plot-in-manglams-balaji-city/9864498
19,other, balawala,2400000.0,900.0,garden view,https://www.squareyards.com/resale-100-sq-yd-plot-in-balawala/9136232
20,ajmer road, bhambhoriya,4301000.0,1035.0,road view,https://www.squareyards.com/resale-115-sq-yd-plot-in-bhambhoriya/9820069
21,neota, neota,3000000.0,900.0,road view,https://www.squareyards.com/resale-100-sq-yd-plot-in-vrb-amber/9649619
22,jagatpura, jagatpura,4500000.0,2718.0,garden view,https://www.squareyards.com/resale-302-sq-yd-plot-in-jagatpura/9772348
23,shivdaspura, shivdaspura,6675000.0,1719.0,road view,https://www.squareyards.com/resale-191-sq-yd-plot-in-shivdaspura/9626561
24,tonk road, tonk road,9627000.0,2169.0,garden view,https://www.squareyards.com/resale-241-sq-yd-plot-in-laxminaryan-vatika-ii/9858117
25,diggi road, diggi road,2659000.0,1017.0,garden view,https://www.squareyards.com/resale-113-sq-yd-plot-in-the-knowledge-park/9706576
26,shivdaspura, shivdaspura,2890000.0,900.0,,https://www.squareyards.com/resale-100-sq-yd-plot-in-shivdaspura/9578856
27,sirsi road, sirsi road,3290000.0,900.0,,https://www.squareyards.com/resale-100-sq-yd-plot-in-shyamashish-sinwar-city/9797681
28,tonk road, tonk road,10600000.0,1800.0,water view,https://www.squareyards.com/resale-200-sq-yd-plot-in-sanjeevni-aagan/9362168
29,shivdaspura, shivdaspura,14000000.0,3600.0,garden view,https://www.squareyards.com/resale-400-sq-yd-plot-in-shivdaspura/9308281
30,ajmer road, jaipur ajmer express highway,4101000.0,999.0,road view,https://www.squareyards.com/resale-111-sq-yd-plot-in-jaipur-ajmer-express-highway/9425475
31,other, basri jogiyan,2750000.0,900.0,garden view,https://www.squareyards.com/resale-100-sq-yd-plot-in-riyasat-eco-park/9349193
32,other, manohariya wala,5800000.0,900.0,road view,https://www.squareyards.com/resale-100-sq-yd-plot-in-riyasat-the-ring-niketan-commercial/9674830
33,diggi road, diggi road,725000.0,450.0,road view,https://www.squareyards.com/resale-50-sq-yd-plot-in-diggi-road/9560012
34,sanganer, dadu dayal nagar,9000000.0,891.0,garden view,https://www.squareyards.com/resale-99-sq-yd-plot-in-dadu-dayal-nagar/9509425
35,kalwara, kalwara,1695000.0,900.0,garden view,https://www.squareyards.com/resale-100-sq-yd-plot-in-mahindra-world-city-jaipur/9494512
36,other, ajairajpura,1695000.0,900.0,,https://www.squareyards.com/resale-100-sq-yd-plot-in-pearl-avenue-ajayrajpura/9494641
37,delhi jaipur expressway, delhi-jaipur expressway,1900000.0,900.0,road view,https://www.squareyards.com/resale-100-sq-yd-plot-in-delhi-jaipur-expressway/9565713
38,neota, neota,3000000.0,999.0,garden view,https://www.squareyards.com/resale-111-sq-yd-plot-in-vrb-amber/9725277
39,renwal manji, renwal manji,3254999.9999999995,1395.0,road view,https://www.squareyards.com/resale-155-sq-yd-plot-in-balaji-sundarm/9619097
40,shivdaspura, shivdaspura,7056999.999999999,1719.0,,https://www.squareyards.com/resale-191-sq-yd-plot-in-ganesh-vihar-vistar/9443633
41,jagatpura, jagatpura,8200000.0,1053.0,road view,https://www.squareyards.com/resale-117-sq-yd-plot-in-krishna-sarovar-jagatpura/9368621
42,ajmer road, ajmer road,3600000.0,900.0,road view,https://www.squareyards.com/resale-100-sq-yd-plot-in-the-riyasat-delight/9371910
43,sanganer, kalyanpura,9000000.0,810.0,,https://www.squareyards.com/resale-90-sq-yd-plot-in-captain-enclave/9311122
44,vatika/vatika road, vatika,3000000.0,999.0,garden view,https://www.squareyards.com/resale-111-sq-yd-plot-in-riyasat-paradise/9454160
